HomeTeam,AwayTeam,FTHG,FTAG,Referee,HF,AF,HY,AY,HR,AR
Hearts,Kilmarnock,5,0,C Murray,12,10,0,1,0,0
Dundee United,Aberdeen,1,3,C Murray,12,10,1,2,0,0
Ross County,Hibernian,1,0,J Beaton,12,10,2,1,0,0
Hearts,Partick,2,4,C Allan,8,11,2,2,0,0
Kilmarnock,St Mirren,1,0,A Muir,19,14,3,1,1,0
Motherwell,Inverness C,2,1,W Collum,8,16,1,1,0,0
St Johnstone,Celtic,3,3,S McLean,9,13,0,1,0,0
Hibernian,Kilmarnock,0,1,C Thomson,8,15,1,1,0,0
Partick,Ross County,2,3,B Madden,7,6,2,2,0,0
St Mirren,Hearts,1,1,S Finnie,16,11,2,2,0,0
Aberdeen,Motherwell,0,1,S McLean,9,17,1,1,0,0
Celtic,Dundee United,3,1,W Collum,10,14,1,1,0,0
Inverness C,St Johnstone,2,0,A Muir,7,7,1,1,0,0
